python3 train.py
Ordinary Least Squares Calculated thetas: theta_0 (intercept) = 8499.599649933216, theta_1 (slope) = -0.021448963591702303
Iteration 0: slope = 0.0030297238782526505, intercept_y = 0.0, y_pred = 0.01
Iteration 1: slope = 0.00596493321832749, intercept_y = 0.011559626436781607, y_pred = 0.01
Iteration 2: slope = 0.008807801632509379, intercept_y = 0.022866243293425487, y_pred = 0.01
Iteration 3: slope = 0.011560453305596297, intercept_y = 0.033925591361028115, y_pred = 0.01
Iteration 4: slope = 0.01422496411832005, intercept_y = 0.044743280962674985, y_pred = 0.01
Iteration 5: slope = 0.016803362745233672, intercept_y = 0.05532479491872831, y_pred = 0.01
Iteration 6: slope = 0.01929763172764586, intercept_y = 0.06567549144471922, y_pred = 0.01
Iteration 7: slope = 0.021709708522169538, intercept_y = 0.07580060698337623, y_pred = 0.01
Iteration 8: slope = 0.024041486525438846, intercept_y = 0.08570525897228697, y_pred = 0.01
Iteration 9: slope = 0.026294816075536166, intercept_y = 0.09539444854865595, y_pred = 0.01
Iteration 10: slope = 0.02847150543065853, intercept_y = 0.10487306319258839, y_pred = 0.01
Iteration 11: slope = 0.03057332172554074, intercept_y = 0.11414587931029689, y_pred = 0.01
Iteration 12: slope = 0.032601991906140694, intercept_y = 0.1232175647585967, y_pred = 0.01
Iteration 13: slope = 0.034559203643081064, intercept_y = 0.13209268131202384, y_pred = 0.01
Iteration 14: slope = 0.036446606224330054, intercept_y = 0.14077568707388025, y_pred = 0.01
Iteration 15: slope = 0.03826581142759319, intercept_y = 0.14927093883248016, y_pred = 0.01
Iteration 16: slope = 0.04001839437287718, intercept_y = 0.15758269436384365, y_pred = 0.01
Iteration 17: slope = 0.041705894355676607, intercept_y = 0.16571511468205385, y_pred = 0.01
Iteration 18: slope = 0.04332981566122376, intercept_y = 0.1736722662384681, y_pred = 0.01
Iteration 19: slope = 0.04489162836023203, intercept_y = 0.18145812307094467, y_pred = 0.01
Iteration 20: slope = 0.04639276908655355, intercept_y = 0.18907656890422192, y_pred = 0.01
Iteration 21: slope = 0.04783464179716205, intercept_y = 0.1965313992025595, y_pred = 0.01
Iteration 22: slope = 0.04921861851486269, intercept_y = 0.20382632317572685, y_pred = 0.01
Iteration 23: slope = 0.05054604005412145, intercept_y = 0.21096496573939938, y_pred = 0.01
Iteration 24: slope = 0.05181821673039771, intercept_y = 0.2179508694309983, y_pred = 0.01
Iteration 25: slope = 0.05303642905335501, intercept_y = 0.22478749628198716, y_pred = 0.01
Iteration 26: slope = 0.054201928404316396, intercept_y = 0.23147822964761433, y_pred = 0.01
Iteration 27: slope = 0.05531593769832237, intercept_y = 0.23802637599506907, y_pred = 0.01
Iteration 28: slope = 0.05637965203114152, intercept_y = 0.24443516665099588, y_pred = 0.01
Iteration 29: slope = 0.057394239311575765, intercept_y = 0.25070775950929125, y_pred = 0.01
Iteration 30: slope = 0.05836084087939438, intercept_y = 0.25684724070008524, y_pred = 0.01
Iteration 31: slope = 0.05928057210922359, intercept_y = 0.26285662622079026, y_pred = 0.01
Iteration 32: slope = 0.06015452300071077, intercept_y = 0.26873886353007914, y_pred = 0.01
Iteration 33: slope = 0.0609837587552753, intercept_y = 0.274496833105635, y_pred = 0.01
Iteration 34: slope = 0.06176932033975092, intercept_y = 0.2801333499664963, y_pred = 0.01
Iteration 35: slope = 0.0625122250372175, intercept_y = 0.28565116516080186, y_pred = 0.01
Iteration 36: slope = 0.06321346698531342, intercept_y = 0.29105296721972224, y_pred = 0.01
Iteration 37: slope = 0.06387401770231306, intercept_y = 0.29634138357834583, y_pred = 0.01
Iteration 38: slope = 0.06449482660124743, intercept_y = 0.3015189819642709, y_pred = 0.01
Iteration 39: slope = 0.06507682149233993, intercept_y = 0.3065882717546376, y_pred = 0.01
Iteration 40: slope = 0.06562090907402245, intercept_y = 0.3115517053023169, y_pred = 0.01
Iteration 41: slope = 0.06612797541279171, intercept_y = 0.316411679231958, y_pred = 0.01
Iteration 42: slope = 0.06659888641215925, intercept_y = 0.32117053570657883, y_pred = 0.01
Iteration 43: slope = 0.06703448827094302, intercept_y = 0.3258305636653691, y_pred = 0.01
